student_id,career,period,year,partial_1,partial_2,partial_3,partial_4,total,exam_type,percentage
stu_70e247f529b532f03d37e5f1e8e11082,,P,2020,10.0,40.0,30.0,10.0,90.0,DMU,60.0
stu_eb360594b9f5e9bd704efe6732f3b47f,Ingeniería Mecánica,P,2020,30.0,30.0,40.0,0.0,100.0,DMU,66.66666666666666
stu_a7444b18b53cd29674c61616cfc3dd78,,P,2020,20.0,20.0,20.0,20.0,80.0,DMU,53.33333333333334
stu_4739a843fbf114a8e03667efdb9a2f6c,Actuaría,P,2020,30.0,20.0,30.0,20.0,100.0,DMU,66.66666666666666
stu_e4a6ad3c2b6d5e9ffecbd10997fdf7d7,,P,2020,10.0,10.0,10.0,20.0,50.0,DMU,33.33333333333333
stu_489679f107b11111049c0d59722d9c63,Actuaría,P,2020,30.0,30.0,20.0,0.0,80.0,DMU,53.33333333333334
stu_8d6832ef36aec77c8310d4f5094640ae,Actuaría,P,2020,30.0,20.0,30.0,0.0,80.0,DMU,53.33333333333334
stu_46bc99daaaa5fdc87c2c12c001c8cc14,,P,2020,30.0,30.0,10.0,20.0,90.0,DMU,60.0
stu_021f63efae958d606afc0bada7dc6d3f,Ingeniería Biomédica,P,2020,10.0,10.0,30.0,20.0,70.0,DMU,46.66666666666666
stu_03a8e2e6f3c8eec3f9e82436c262ee50,Administración de Empresas,P,2020,30.0,10.0,10.0,20.0,70.0,DMU,46.66666666666666
stu_be29ce26ff2163d8ef73514d6eef5460,Administración de Empresas,P,2020,10.0,10.0,40.0,0.0,60.0,DMU,40.0
stu_ba04f1f0928b5795361995bd54fd5f1d,,P,2020,40.0,30.0,40.0,10.0,120.0,DMU,80.0
stu_dabc02f23934e5ab2f23571caf02de6e,Ingeniería Biomédica,P,2020,30.0,30.0,20.0,0.0,80.0,DMU,53.33333333333334
stu_5f51ac8736b40f5cdef7ef39ea370fff,Actuaría,P,2020,30.0,20.0,30.0,10.0,90.0,DMU,60.0
stu_961c8b75e695ff36accbb440285ac27f,Administración de Empresas,P,2020,20.0,20.0,30.0,10.0,80.0,DMU,53.33333333333334
stu_cea3c302d64d85c731bc0af697626756,Ingeniería Civil,P,2020,30.0,30.0,10.0,10.0,80.0,DMU,53.33333333333334
stu_be9736e442003628aceca82a87bfe8a8,,P,2020,30.0,20.0,30.0,10.0,90.0,DMU,60.0
stu_8ef075665bdb85ac49b6b6557fa4c6c5,Economía,P,2020,30.0,30.0,20.0,20.0,100.0,DMU,66.66666666666666
stu_aace0ae233e33fd97e17f3980ccd9bd2,Ingeniería Industrial,P,2020,30.0,10.0,30.0,20.0,90.0,DMU,60.0
stu_c38904dd51dcb256f9943e4e99fd3df0,,P,2020,30.0,20.0,30.0,10.0,90.0,DMU,60.0
stu_7a8fb7b88f2f94150c703357633046e6,,P,2020,20.0,30.0,10.0,10.0,70.0,DMU,46.66666666666666
stu_2780253af03b79c610985c76a8792ba4,,P,2020,20.0,20.0,20.0,10.0,70.0,DMU,46.66666666666666
stu_f95d6776fb74bc4e9206ff05be6d474c,,P,2020,20.0,20.0,30.0,10.0,80.0,DMU,53.33333333333334
stu_aa658cd7bffa596b41ead592fe884293,Ingeniería en Robótica y Telecomunicaciones,P,2020,20.0,10.0,40.0,20.0,90.0,DMU,60.0
stu_970a333c15c150376b194ab21c7603bc,Ingeniería Mecánica,P,2020,30.0,40.0,30.0,10.0,110.0,DMU,73.33333333333333
stu_86d81fa7d58fdb17d41d545da8ce4061,Economía,P,2020,10.0,20.0,10.0,10.0,50.0,DMU,33.33333333333333
stu_485e0651ddf472da19c9274885b3aabb,Ingeniería Química,P,2020,30.0,30.0,30.0,30.0,120.0,DMU,80.0
stu_423ef65be9b171d1d5ad79f64afa5184,Banca e Inversiones,P,2020,0.0,20.0,30.0,10.0,60.0,DMU,40.0
stu_0b782808753d702684bfcae028c80029,Ingeniería Industrial,P,2020,20.0,0.0,10.0,10.0,40.0,DMU,26.66666666666667
stu_ff00da3e0565cb94fa4fdd98d1d018fb,,P,2020,30.0,30.0,30.0,20.0,110.0,DMU,73.33333333333333
stu_a8b6e810e10bc1506e5c5df253322389,Banca e Inversiones,P,2020,40.0,20.0,20.0,20.0,100.0,DMU,66.66666666666666
stu_e7b3571a972757b6b7e57cf207867b8b,Actuaría,P,2020,20.0,30.0,0.0,0.0,50.0,DMU,33.33333333333333
stu_846c15218b2d127b6a958cb7a3985e13,,P,2020,30.0,30.0,10.0,10.0,80.0,DMU,53.33333333333334
stu_b608f58adbdcb8a304e8245df746e2f0,,P,2020,40.0,30.0,10.0,0.0,80.0,DMU,53.33333333333334
stu_4ea45f5fd78dff607e733dfa262acf81,Ingeniería en Logística y Cadena de Suministros,P,2020,10.0,30.0,20.0,20.0,80.0,DMU,53.33333333333334
stu_3c4d0f28e219db608f9a2df71aa0ddc6,,P,2020,30.0,30.0,40.0,30.0,130.0,DMU,86.66666666666667
stu_29e353e583f7c3a0a634834a8c4cd668,Administración de Empresas,P,2020,20.0,20.0,20.0,20.0,80.0,DMU,53.33333333333334
