subject_id,subject_name,source_status
SUBJ_MATEMATICAS_DISCRETAS,Matemáticas Discretas,catalog_and_or_advisory
SUBJ_MATEMATICAS_I,Matemáticas I,catalog_and_or_advisory
SUBJ_MATEMATICAS_II,Matemáticas II,catalog_and_or_advisory
SUBJ_MATEMATICAS_PARA_PENSAR,Matemáticas para Pensar,catalog_and_or_advisory
SUBJ_MATEMATICAS_UNIVERSITARIAS,Matemáticas Universitarias,catalog_and_or_advisory
SUBJ_MECANICA_CLASICA,Mecánica Clásica,catalog_and_or_advisory
SUBJ_MECANICA_CUANTICA_I,Mecánica Cuántica I,catalog_and_or_advisory
SUBJ_MECANICA_CUANTICA_II,Mecánica Cuántica II,catalog_and_or_advisory
SUBJ_MECANICA_ESTADISTICA,Mecánica Estadística,catalog_and_or_advisory
SUBJ_METODOS_DE_INFERENCIA,Métodos de Inferencia,catalog_and_or_advisory
SUBJ_METODOS_DE_INFERENCIA_I,Métodos de Inferencia I,catalog_and_or_advisory
SUBJ_METODOS_DE_INFERENCIA_II,Métodos de Inferencia II,catalog_and_or_advisory
SUBJ_METODOS_EN_ECOLOGIA,Métodos en Ecología,catalog_and_or_advisory
SUBJ_METODOS_MATEMATICOS_DE_LA_FISICA_2,Métodos Matemáticos de la Física 2,catalog_and_or_advisory
SUBJ_METODOS_MATEMATICOS_DE_LA_FISICA_3,Métodos Matemáticos de la Física 3,catalog_and_or_advisory
SUBJ_METODOS_MATEMATICOS_DE_LA_FISICA_I,Métodos Matemáticos de la Física I,catalog_and_or_advisory
SUBJ_MICROBIOLOGIA,Microbiología,catalog_and_or_advisory
SUBJ_MICROBIOLOGIA_Y_PARASITOLOGIA,Microbiología y Parasitología,catalog_and_or_advisory
SUBJ_MINERIA_DE_DATOS,Minería de Datos,catalog_and_or_advisory
SUBJ_MODELADO_DE_SISTEMAS_DE_AGUA_Y_SANEAMIENTO,Modelado de Sistemas de Agua y Saneamiento,catalog_and_or_advisory
SUBJ_MODELOS_ESTOCASTICOS,Modelos Estocásticos,catalog_and_or_advisory
SUBJ_MODELOS_ESTOCASTICOS_I,Modelos Estocásticos I,catalog_and_or_advisory
SUBJ_MODELOS_ESTOCASTICOS_II,Modelos Estocásticos II,catalog_and_or_advisory
SUBJ_MODELOS_ESTOCASTICOS_III,Modelos Estocásticos III,catalog_and_or_advisory
SUBJ_NANOBIOTECNOLOGIA,Nanobiotecnología,catalog_and_or_advisory
SUBJ_NANOMATERIALES_FUNCIONALES,Nanomateriales Funcionales,catalog_and_or_advisory
SUBJ_NANOTECNOLOGIA_E_INDUSTRIA,Nanotecnología e Industria,catalog_and_or_advisory
SUBJ_NANOTECNOLOGIA_E_INGENIERIA_MOLECULAR_APLICADA,Nanotecnología e Ingeniería Molecular Aplicada,catalog_and_or_advisory
SUBJ_NANOTECNOLOGIA_Y_SOCIEDAD,Nanotecnología y Sociedad,catalog_and_or_advisory
SUBJ_NUTRICION_EN_EL_CICLO_DE_LA_VIDA,Nutrición en el Ciclo de la Vida,catalog_and_or_advisory
SUBJ_ODONTOLOGIA_PREVENTIVA,Odontología Preventiva,catalog_and_or_advisory
SUBJ_ODONTOPEDIATRIA,Odontopediatría,catalog_and_or_advisory
SUBJ_OPERATORIA_DENTAL,Operatoria Dental,catalog_and_or_advisory
SUBJ_OPTICA,Óptica,catalog_and_or_advisory
SUBJ_OPTIMIZACION_AVANZADA,Optimización Avanzada,catalog_and_or_advisory
SUBJ_ORTODONCIA,Ortodoncia,catalog_and_or_advisory
SUBJ_PATOLOGIA_GENERAL,Patología General,catalog_and_or_advisory
SUBJ_PERIODONCIA,Periodoncia,catalog_and_or_advisory
SUBJ_PERSPECTIVAS_DISCIPLINARES,Perspectivas Disciplinares,catalog_and_or_advisory
SUBJ_PLANEACION_Y_CONTROL_DE_LA_PRODUCCION,Planeación y Control de la Producción,catalog_and_or_advisory
SUBJ_PLANEACION_Y_CONTROL_DE_OBRA,Planeación y Control de Obra,catalog_and_or_advisory
SUBJ_PORTAFOLIOS_DE_INVERSION,Portafolios de Inversión,catalog_and_or_advisory
SUBJ_PRACTICAS_CLINICAS_I,Prácticas Clínicas I,catalog_and_or_advisory
SUBJ_PRACTICAS_CLINICAS_II,Prácticas Clínicas II,catalog_and_or_advisory
SUBJ_PRACTICAS_CLINICAS_III,Prácticas Clínicas III,catalog_and_or_advisory
SUBJ_PRACTICAS_CLINICAS_IV,Prácticas Clínicas IV,catalog_and_or_advisory
SUBJ_PRACTICAS_DE_PRINCIPIOS_BASICOS_DE_ENFERMERIA,Prácticas de Principios Básicos de Enfermería,catalog_and_or_advisory
SUBJ_PRACTICAS_EN_LA_PROFESION_1,Prácticas en la Profesión 1,catalog_and_or_advisory
SUBJ_PRACTICAS_EN_LA_PROFESION_2,Prácticas en la Profesión 2,catalog_and_or_advisory
SUBJ_PRECALCULO,Precálculo,catalog_and_or_advisory
SUBJ_PROBABILIDAD_Y_ESTADISTICA,Probabilidad y Estadística,catalog_and_or_advisory
SUBJ_PROCEDIMIENTOS_DE_CONSTRUCCION,Procedimientos de Construcción,catalog_and_or_advisory
SUBJ_PROCESOS_DE_INVESTIGACION_BIOLOGICA_Y_ANALISIS,Procesos de Investigación Biológica y Análisis,catalog_and_or_advisory
SUBJ_PROCESOS_DE_MANUFACTURA,Procesos de Manufactura,catalog_and_or_advisory
SUBJ_PRODUCTOS_DERIVADOS,Productos Derivados,catalog_and_or_advisory
SUBJ_PROGRAMACION_CIENTIFICA,Programación Científica,catalog_and_or_advisory
SUBJ_PROGRAMACION_CONCURRENTE,Programación Concurrente,catalog_and_or_advisory
SUBJ_PROGRAMACION_MATEMATICA,Programación Matemática,catalog_and_or_advisory
SUBJ_PROGRAMACION_OPTIMIZACION,Programación / Optimización,catalog_and_or_advisory
SUBJ_PROGRAMACION_ORIENTADA_A_OBJETOS,Programación Orientada a Objetos,catalog_and_or_advisory
SUBJ_PROTESIS_PARCIAL_REMOVIBLE,Prótesis Parcial Removible,catalog_and_or_advisory
SUBJ_PROTESIS_TOTAL,Prótesis Total,catalog_and_or_advisory
SUBJ_QUIMICA_ANALITICA,Química Analítica,catalog_and_or_advisory
SUBJ_QUIMICA_DE_MATERIALES,Química de Materiales,catalog_and_or_advisory
SUBJ_QUIMICA_GENERAL,Química General,catalog_and_or_advisory
SUBJ_QUIMICA_INORGANICA_I,Química Inorgánica I,catalog_and_or_advisory
SUBJ_QUIMICA_INORGANICA_II,Química Inorgánica II,catalog_and_or_advisory
SUBJ_QUIMICA_ORGANICA_I,Química Orgánica I,catalog_and_or_advisory
SUBJ_QUIMICA_ORGANICA_II,Química Orgánica II,catalog_and_or_advisory
SUBJ_RADIOLOGIA_DENTAL,Radiología Dental,catalog_and_or_advisory
SUBJ_RECONOCIMIENTO_DE_PATRONES,Reconocimiento de Patrones,catalog_and_or_advisory
SUBJ_RECURSOS_BIOTICOS_DE_MEXICO,Recursos Bióticos de México,catalog_and_or_advisory
SUBJ_REDES_NEURONALES,Redes Neuronales,catalog_and_or_advisory
SUBJ_REPRESENTACION_DE_DATOS,Representación de Datos,catalog_and_or_advisory
SUBJ_SEGURIDAD_DE_DATOS,Seguridad de Datos,catalog_and_or_advisory
