course_code,subject_id,catalog_name,course_code_ambiguous
LFA2033,SUBJ_OPTICA,Óptica,False
LFA2043,SUBJ_LABORATORIO_DE_OPTICA,Laboratorio de Óptica,False
LFA3013,SUBJ_ECUACIONES_DIFERENCIALES_PARCIALES,Ecuaciones Diferenciales Parciales,False
LFA3023,SUBJ_METODOS_MATEMATICOS_DE_LA_FISICA_2,Métodos Matemáticos de la Física 2,False
LFA3033,SUBJ_MECANICA_CLASICA,Mecánica Clásica,False
LFA3043,SUBJ_FISICA_MODERNA,Física Moderna,False
LFA3052,SUBJ_METODOS_MATEMATICOS_DE_LA_FISICA_I,Métodos Matemáticos de la Física I,False
LFA3053,SUBJ_FISICA_MODERNA_EXPERIMENTAL,Física Moderna Experimental,False
LFA3063,SUBJ_PRACTICAS_EN_LA_PROFESION_1,Prácticas en la Profesión 1,False
LFA3073,SUBJ_METODOS_MATEMATICOS_DE_LA_FISICA_3,Métodos Matemáticos de la Física 3,False
LFA3082,SUBJ_ANALISIS_NUMERICO,Análisis Numérico,False
LFA3083,SUBJ_PROGRAMACION_CIENTIFICA,Programación Científica,False
LFA3093,SUBJ_TEORIA_ELECTROMAGNETICA_I,Teoría Electromagnética I,False
LFA3103,SUBJ_MECANICA_CUANTICA_I,Mecánica Cuántica I,False
LFA3113,SUBJ_FISICA_ATOMICA_MOLECULAR_Y_NUCLEAR,"Física Atómica, Molecular y Nuclear",False
LFA3123,SUBJ_ANALISIS_NUMERICO,Análisis Numérico,False
LFA4013,SUBJ_MECANICA_ESTADISTICA,Mecánica Estadística,False
LFA4023,SUBJ_TEORIA_ELECTROMAGNETICA_II,Teoría Electromagnética II,False
LFA4033,SUBJ_MECANICA_CUANTICA_II,Mecánica Cuántica II,False
LFA4043,SUBJ_FISICA_COMPUTACIONAL,Física Computacional,False
LFA4052,SUBJ_TEMAS_SELECTOS_1_FISICA,Temas Selectos 1 (Fïsica),False
LFA4053,SUBJ_PRACTICAS_EN_LA_PROFESION_2,Prácticas en la Profesión 2,False
LFA4063,SUBJ_FISICA_DEL_ESTADO_SOLIDO,Física del Estado Sólido,False
LFA4073,SUBJ_FISICA_DE_PARTICULAS,Física de Partículas,False
LFA4083,SUBJ_LABORATORIO_DE_INVESTIGACION,Laboratorio de Investigación,False
LFA4092,SUBJ_TEMAS_SELECTOS_2_FISICA,Temas Selectos 2 (Fïsica),False
LFA4093,SUBJ_TEMAS_SELECTOS,Temas Selectos,False
LFA4102,SUBJ_TEMAS_SELECTOS_3_FISICA,Temas Selectos 3 (Fïsica),False
LFA4103,SUBJ_PERSPECTIVAS_DISCIPLINARES,Perspectivas Disciplinares,False
LFA4113,SUBJ_TOPICOS_DE_VANGUARDIA,Tópicos de Vanguardia,False
LFB2012,SUBJ_FARMACOLOGIA,Farmacología,False
LFB2013,SUBJ_MICROBIOLOGIA,Microbiología,False
LFB2023,SUBJ_LABORATORIO_DE_MICROBIOLOGIA,Laboratorio de Microbiología,False
LFB2033,SUBJ_BIOLOGIA_CELULAR,Biología Celular,False
LFB2043,SUBJ_LABORATORIO_DE_BIOLOGIA_CELULAR,Laboratorio de Biología Celular,False
LFB2053,SUBJ_QUIMICA_ANALITICA,Química Analítica,False
LFB2063,SUBJ_LABORATORIO_DE_QUIMICA_ANALITICA,Laboratorio de Química Analítica,False
LFB2073,SUBJ_FARMACOLOGIA,Farmacología,False
