CLASSROOM_ID,n_adverse_imputed,n_numeric_below_pass_pool,n_unique_numeric_below_pass_pool,method,kde_library,kde_bw_method,kde_factor,support_low,support_high_exclusive,seed
23434|2024|PRIMAVERA,7,5,5,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.7247796636776955,0.0,7.5,42
23434|2020|OTONO,5,6,6,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.6988271187715792,0.0,7.5,42
23453|2022|OTONO,25,8,8,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.6597539553864471,0.0,7.5,42
22521|2024|PRIMAVERA,3,2,2,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.8705505632961241,0.0,7.5,42
23133|2019|PRIMAVERA,10,1,1,within_classroom_empirical_degenerate_kde,scipy.stats.gaussian_kde,,,0.0,7.5,42
21853|2021|OTONO,3,3,3,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.8027415617602307,0.0,7.5,42
22446|2021|OTONO,6,2,2,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.8705505632961241,0.0,7.5,42
21854|2022|OTONO,6,6,6,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.6988271187715792,0.0,7.5,42
24827|2023|OTONO,4,3,2,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.8027415617602307,0.0,7.5,42
24097|2023|PRIMAVERA,3,0,0,uniform_fallback_no_observed_subpass_grade,,,,0.0,7.5,42
23978|2022|PRIMAVERA,3,1,1,within_classroom_empirical_degenerate_kde,scipy.stats.gaussian_kde,,,0.0,7.5,42
22471|2022|PRIMAVERA,2,4,4,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.757858283255199,0.0,7.5,42
25093|2023|OTONO,2,0,0,uniform_fallback_no_observed_subpass_grade,,,,0.0,7.5,42
22115|2023|OTONO,10,3,3,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.8027415617602307,0.0,7.5,42
22446|2020|PRIMAVERA,2,1,1,within_classroom_empirical_degenerate_kde,scipy.stats.gaussian_kde,,,0.0,7.5,42
23885|2022|PRIMAVERA,2,1,1,within_classroom_empirical_degenerate_kde,scipy.stats.gaussian_kde,,,0.0,7.5,42
