population,YEAR,SESSION,VISIT_DATE,visits,unique_students
First-MU cohort during MU term,2023,PRIMAVERA,2023-03-27,2,2
First-MU cohort during MU term,2023,PRIMAVERA,2023-03-28,1,1
First-MU cohort during MU term,2023,PRIMAVERA,2023-03-29,3,3
First-MU cohort during MU term,2023,PRIMAVERA,2023-03-30,3,2
First-MU cohort during MU term,2023,PRIMAVERA,2023-04-09,4,4
First-MU cohort during MU term,2023,PRIMAVERA,2023-04-13,2,1
First-MU cohort during MU term,2023,PRIMAVERA,2023-04-17,3,2
First-MU cohort during MU term,2023,PRIMAVERA,2023-04-18,3,2
First-MU cohort during MU term,2023,PRIMAVERA,2023-04-19,5,5
First-MU cohort during MU term,2023,PRIMAVERA,2023-04-20,1,1
First-MU cohort during MU term,2023,PRIMAVERA,2023-04-25,7,6
First-MU cohort during MU term,2023,PRIMAVERA,2023-04-26,3,3
First-MU cohort during MU term,2023,PRIMAVERA,2023-04-27,1,1
First-MU cohort during MU term,2023,PRIMAVERA,2023-05-09,4,4
First-MU cohort during MU term,2023,PRIMAVERA,2023-05-10,2,2
First-MU cohort during MU term,2023,PRIMAVERA,2023-06-03,2,2
First-MU cohort during MU term,2023,PRIMAVERA,2023-06-09,1,1
First-MU cohort during MU term,2023,PRIMAVERA,2023-06-11,4,4
First-MU cohort during MU term,2024,PRIMAVERA,2024-01-17,1,1
First-MU cohort during MU term,2024,PRIMAVERA,2024-01-24,1,1
First-MU cohort during MU term,2024,PRIMAVERA,2024-01-25,2,2
First-MU cohort during MU term,2024,PRIMAVERA,2024-01-26,2,2
First-MU cohort during MU term,2024,PRIMAVERA,2024-01-29,1,1
First-MU cohort during MU term,2024,PRIMAVERA,2024-01-30,1,1
First-MU cohort during MU term,2024,PRIMAVERA,2024-01-31,2,2
First-MU cohort during MU term,2024,PRIMAVERA,2024-02-01,5,5
First-MU cohort during MU term,2024,PRIMAVERA,2024-02-06,1,1
First-MU cohort during MU term,2024,PRIMAVERA,2024-02-07,2,2
First-MU cohort during MU term,2024,PRIMAVERA,2024-02-08,1,1
First-MU cohort during MU term,2024,PRIMAVERA,2024-02-12,3,3
First-MU cohort during MU term,2024,PRIMAVERA,2024-02-13,1,1
First-MU cohort during MU term,2024,PRIMAVERA,2024-02-14,6,6
First-MU cohort during MU term,2024,PRIMAVERA,2024-02-15,4,4
First-MU cohort during MU term,2024,PRIMAVERA,2024-02-19,1,1
First-MU cohort during MU term,2024,PRIMAVERA,2024-02-20,1,1
First-MU cohort during MU term,2024,PRIMAVERA,2024-02-21,3,3
First-MU cohort during MU term,2024,PRIMAVERA,2024-02-22,8,8
First-MU cohort during MU term,2024,PRIMAVERA,2024-02-26,6,6
First-MU cohort during MU term,2024,PRIMAVERA,2024-02-28,7,7
First-MU cohort during MU term,2024,PRIMAVERA,2024-02-29,3,3
First-MU cohort during MU term,2024,PRIMAVERA,2024-03-01,2,2
First-MU cohort during MU term,2024,PRIMAVERA,2024-03-04,4,4
First-MU cohort during MU term,2024,PRIMAVERA,2024-03-05,1,1
First-MU cohort during MU term,2024,PRIMAVERA,2024-03-06,1,1
First-MU cohort during MU term,2024,PRIMAVERA,2024-03-07,5,5
First-MU cohort during MU term,2024,PRIMAVERA,2024-03-11,4,4
First-MU cohort during MU term,2024,PRIMAVERA,2024-03-14,1,1
First-MU cohort during MU term,2024,PRIMAVERA,2024-03-20,1,1
First-MU cohort during MU term,2024,PRIMAVERA,2024-03-21,2,2
First-MU cohort during MU term,2024,PRIMAVERA,2024-04-01,1,1
First-MU cohort during MU term,2024,PRIMAVERA,2024-04-02,3,3
First-MU cohort during MU term,2024,PRIMAVERA,2024-04-03,5,5
First-MU cohort during MU term,2024,PRIMAVERA,2024-04-04,4,4
First-MU cohort during MU term,2024,PRIMAVERA,2024-04-08,2,2
First-MU cohort during MU term,2024,PRIMAVERA,2024-04-10,9,9
First-MU cohort during MU term,2024,PRIMAVERA,2024-04-11,5,5
First-MU cohort during MU term,2024,PRIMAVERA,2024-04-12,2,2
First-MU cohort during MU term,2024,PRIMAVERA,2024-04-15,6,6
First-MU cohort during MU term,2024,PRIMAVERA,2024-04-16,6,6
First-MU cohort during MU term,2024,PRIMAVERA,2024-04-17,4,4
First-MU cohort during MU term,2024,PRIMAVERA,2024-04-18,3,3
First-MU cohort during MU term,2024,PRIMAVERA,2024-04-19,1,1
First-MU cohort during MU term,2024,PRIMAVERA,2024-04-22,9,6
First-MU cohort during MU term,2024,PRIMAVERA,2024-04-24,6,6
First-MU cohort during MU term,2024,PRIMAVERA,2024-04-25,4,3
First-MU cohort during MU term,2024,PRIMAVERA,2024-04-26,6,4
First-MU cohort during MU term,2024,PRIMAVERA,2024-04-29,17,12
